YEAR,MONTH_NUM,PERIOD_ID,STATE_NAME,NBR_FLIGHTS_DESCENT,TOT_DIST_LEVEL_NM_DESCENT,AVG_DIST_DESCENT
2015,2,201502,Western Sahara,137,219.753965137335,1.6040435411484306
2015,3,201503,Albania,721,3512.51957106688,4.871733108275839
2015,3,201503,Austria,13824,139675.06392961866,10.103809601390239
2015,3,201503,Belgium,12978,267744.19058388146,20.630620325464744
2015,3,201503,Bosnia and Herzegovina,376,1636.5333508325512,4.352482316044019
2015,3,201503,Bulgaria,1968,12646.702044486734,6.426169738052202
2015,3,201503,Croatia,2132,14237.547216519473,6.678024022757727
2015,3,201503,Cyprus,445,1467.7411691559628,3.298294762148231
2015,3,201503,Czech Republic,5064,64207.2483401462,12.679156465273737
2015,3,201503,Denmark,14198,63567.30451521142,4.477201332244783
2015,3,201503,Estonia,778,606.1816572780026,0.779153801128538
2015,3,201503,Faroe Islands,5,2.24982001439867,0.449964002879734
