YEAR,Country_code,DIST_FLOWN_KM,DIST_DIRECT_KM,HFE_EFF
2018,HR,412.62045,411.54050631,1.0026241491990258
2018,HU,569.259297,568.05382095,1.0021221159079328
2018,IE,272.262974,271.65072237,1.0022538192597408
2018,IT,2008.729475,1975.26836409,1.0169400328169664
2018,LT,123.17224,122.96810737,1.0016600453106574
2018,LV,160.41269,160.0174529,1.0024699624499522
2018,MT,131.312848,131.03616857,1.002111473748198
2018,PL,940.50688,932.7312972899999,1.008336358748325
2018,RO,865.898251,861.4886487699999,1.005118584250989
2018,SE,736.206084,731.91265438,1.0058660409740243
2018,SI,124.398993,124.27751228,1.0009774955884723
2018,SK,242.260053,241.58465715,1.0027956901649622
2019,AT,668.38687,665.9952680299999,1.003591019463358
2019,BE,476.717026,470.06119871,1.0141594909519565
2019,BG,625.217627,623.5657897000001,1.0026490184793406
